category,value
Low,7
Medium,28
Medium,12
Medium,13
Medium,10
Low,7
Low,15
Medium,20
Medium,8
Low,7
Low,7
Low,9
Medium,15
Medium,38
High,11
Low,8
Medium,13
Medium,24
Medium,14
Medium,8
Low,31
Medium,15
Medium,11
Medium,8
Low,7
Low,7
Low,10
Low,19
Medium,11
Low,20
Medium,11
Medium,7
Low,7
Low,8
