category,value
Medium,31
High,48
High,65
High,29
High,58
High,41
High,23
Medium,26
Medium,36
High,16
Medium,11
Low,26
Medium,159
High,73
High,114
High,32
Medium,11
Medium,42
High,13
Medium,20
Medium,155
High,48
High,21
Medium,13
Medium,52
High,16
Medium,29
Medium,10
Medium,55
High,13
Medium,10
